"Tender/Ref No.","Title","Agency","Procurement Category","Source","Scope Summary","Publish Date/Time","Closing Date/Time","Status","Link"
"","Delivery & Installation of Customized Clear Acrylic Panels & Stickers for Telok Blangah Division Residential Lifts","TANJONG PAGAR TOWN COUNCIL","Construction: Signages","TenderBoard","","10 Sep","16 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","ITQ for Provision of Data Entry and Enquiry Handling Services for Developmental Disability Registry Identity Card","SG ENABLE LTD.","Services: Data Entry, Supply of Manpower Services","TenderBoard","","10 Sep","23 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Production of TAL Corporate Video","Tripartite Alliance Limited","Others: Others","TenderBoard","","10 Sep","17 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Launch Video for Impact, IRL","National Volunteer & Philanthropy Centre","Administration & Training: Music & Video","TenderBoard","","10 Sep","24 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","REQUEST OF QUOTATION TO PROPOSED ADDITION AND ALTERATION (A&A) WORKS TO AWWA COMMUNITY GARDEN BETWEEN BLOCK 123 AND 124 ANG MO KIO AVENUE 6","AWWA LTD.","Construction: General Building & Minor Construction Works","TenderBoard","","9 Sep","23 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","ITT: 26/0033
PROVISION OF REPAIR AND REFURBISHMENT (R&R) WORKS AT LEVEL 2 TO LEVEL 8 BOARDING BLOCK 1, 2 & 4 AT SINGAPORE SPORTS SCHOOL","Sport Excellence Singapore (SpexSG) Ltd.","Construction: General Building & Minor Construction Works","TenderBoard","","9 Sep","29 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Coaching fees for P4 Gymnastics Term 4 P.E Program, 2026","APSN","Services: Professional Services","TenderBoard","","9 Sep","15 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","SUPPLY AND DELIVERY OF x2 PAPER SHREDDER FOR TAMPINES TOWN COUNCIL LEVEL 1 AND LEVEL 2","TAMPINES TOWN COUNCIL","Administration & Training: Office Supplies & Stationery","TenderBoard","","9 Sep","16 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Supply of Eggs for Catholic Welfare Services Nursing Homes","Catholic Welfare Services","Others: Others","TenderBoard","","9 Sep","18 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Cyber Essentials Mark (CEM) Certification Audit for HIA Entities","Singapore Cancer Society","Not Specified","TenderBoard","","9 Sep","10 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Replace chiller eater type FCU","Singapore Recreation Club","Facilities Management: Airconditioning, Refrigeration & Ventilation Works & Maintenance","TenderBoard","","9 Sep","15 Sep","Live","https://www.tenderboard.biz/singaporetenders"
